source,unique_id,spatial_predictor1,spatial_predictor2,spatial_predictor3,spatial_predictor4,spatial_predictor5,area_ha,max_species_body_mass,mean_species_body_mass,median_species_body_mass,CW_max_species_body_mass,CW_mean_species_body_mass,CW_median_species_body_mass,n_species_reserve,n_herbi_sp_reserve,elephant_biomass_ha,browser_biomass_ha,grazer_biomass_ha,mixed_feeder_biomass_ha,grazer_browser_ratio,grazer_mixed_ratio,browser_mixed_ratio,herbi_biomass_ha,herbi_fun_red,herbi_fun_div_distq1,herbi_fun_ent,predator_biomass_ha,establishment_year,Biome,n_reserves_biome,herbi_biomass_kgkm2,grazer_biomass_kgkm2,mixed_feeder_biomass_kgkm2,browser_biomass_kgkm2,elephant_biomass_kgkm2
HC,reserve_27,-0.022737331549993,-0.0233894437517719,-0.0226819090120961,-0.0215806979392069,-0.0220418172536335,4300,569.9936,146.567727272727,102,196.425538907756,28.6744932878094,7.7995613155806,11,9,0,1.9906976744186,2.6197673255814,8.46787027906977,1.31600461448598,0.309377356908352,0.235088352656873,13.0783352790698,0.0972222222222222,2.80278373211013,8,0.0159882790697674,2001,Fynbos,39,1307.83352790698,261.97673255814,846.787027906977,199.06976744186,0
HC,reserve_28,-0.0301775804312609,-0.0305861378876187,-0.0295615470845645,-0.0303222476099286,-0.0355276226850662,1200,899.9948,204.560085714286,136.50075,259.583988465313,30.9012285188345,6.35275266238504,14,14,0,0.980205,0.682084,0.937995416666667,0.695858519391352,0.727171996664874,1.0449997756741,2.60028441666667,0.2,2.91356694257876,10,,2005,Savanna,203,260.028441666667,68.2084,93.7995416666667,98.0205,0
HC,reserve_29,-0.0188900528839489,-0.0198051828994707,-0.0192382159099446,-0.0181542807848031,-0.0177612052139417,800,54.9997,22.99985,13.3749,7.26876790380993,5.89376790380993,5.89376790380993,4,2,0,0.016249875,0,0.012812375,,,1.26829530044196,0.02906225,0,1.92261399188254,2,0.085937,2003,Fynbos,39,2.906225,0,1.2812375,1.6249875,0
EWT,reserve_30,-0.0550770726585967,-0.0546815159001998,-0.0541410390988048,-0.0546989941274159,-0.0528770004072493,495,899.9948,183.713245454545,102,291.392644776863,37.6665080390921,8.55219821734128,11,10,0,10.2918913131313,4.4939303030303,7.67658101010101,0.436647664292427,0.585407787284091,1.34068686301741,22.4624026262626,0.171428571428571,3.419075075498,7,0.0277775757575758,,Albany Thicket,87,2246.24026262626,449.39303030303,767.658101010101,1029.18913131313,0
EWT,reserve_31,-0.0573718400857973,-0.0594277985505329,-0.0595674515214658,-0.0589091160522187,-0.0574583406613603,100,569.9936,153.860644444444,102,181.686569057551,28.2717476156021,9.69687859491222,9,9,0,4.212504,43.230128,59.849626,10.2623351811654,0.722312416789371,0.070384800733759,107.292258,0.0972222222222222,3.20507817701565,8,,,Fynbos,39,10729.2258,4323.0128,5984.9626,421.2504,0
EWT,reserve_32,-0.0628200840188924,-0.0632351629176008,-0.0646626190575949,-0.0671821146580305,-0.0642620898996455,1300,213.501,103.418272727273,86.6004,57.4164293005812,10.8147754023647,3.93940820170433,11,10,0,7.42926276923077,4.58075969230769,12.4175486153846,0.616583345426882,0.368894041343426,0.598287391444262,24.4275710769231,0.15,3.46385906332691,8,0.0105768461538462,,Grassland,33,2442.75710769231,458.075969230769,1241.75486153846,742.926276923077,0
EWT,reserve_33,0.0207547687002841,0.0227069005431333,0.0223055387301741,0.0232926006699524,0.0321970277795503,6000,899.9948,198.699604347826,171.0015,116.835411914436,19.019248862326,4.5634689943242,23,20,0,8.015822,10.7095847833333,15.9383405666667,1.33605571372884,0.671938508186435,0.502927012161118,34.66374735,0.242307692307692,2.89226186283325,13,0.0134582666666667,1980,Savanna,203,3466.374735,1070.95847833333,1593.83405666667,801.5822,0
EWT,reserve_34,-0.0683001182279715,-0.0654095008222771,-0.0661450067370624,-0.0631370288967066,-0.0636896494966464,4200,569.9936,144.796023076923,102,89.1865274253065,17.6193688386065,4.06062124342796,13,12,0,13.2333928571429,6.5333655952381,10.6554887380952,0.493702988021824,0.613145558671577,1.24193203919696,30.4222471904762,0.166666666666667,2.63086551825869,9,0.00327378571428571,2006,Nama-Karoo,33,3042.22471904762,653.33655952381,1065.54887380952,1323.33928571429,0
EWT,reserve_35,-0.0392110299746872,-0.0400090374080984,-0.0400898413879707,-0.0408909574229379,-0.0481282764314527,2800,102,44.18745,30.49995,21.2291508236975,11.533799846213,8.90372729331312,4,3,0,2.8125,0.632140714285714,0.728571428571429,0.224761142857143,0.867644117647059,3.86029411764706,4.17321214285714,0,1.50159219617951,3,0.00491067857142857,,Nama-Karoo,33,417.321214285714,63.2140714285714,72.8571428571429,281.25,0
EWT,reserve_36,0.049671525437019,0.05175738875111,0.0536414219044114,0.05731460331982,0.0625893810061815,1275,899.9948,214.585805555556,170.0014,91.0102886405392,20.2073476888907,8.60253795501719,18,15,0,17.1795700392157,52.4203496470588,42.086226745098,3.05131906837012,1.24554643409948,0.408199341396569,111.686146431373,0.266666666666667,2.79477791912132,9,0.045451137254902,,Savanna,203,11168.6146431373,5242.03496470588,4208.6226745098,1717.95700392157,0
EWT,reserve_37,-0.0254552055069921,-0.0262162624066076,-0.0254671713646811,-0.0251153750609032,-0.0275093910621662,3110,179.999,103.9166,102,40.6690555747062,12.5157320211922,7.57252111693045,9,8,0,1.51929260450161,16.8890183279743,20.0160778135048,11.1163697354497,0.843772615461121,0.0759036120191611,38.4243887459807,0.208333333333333,2.49906127680134,6,0.00442118971061093,1996,Grassland,33,3842.43887459807,1688.90183279743,2001.60778135048,151.929260450161,0
EWT,reserve_38,-0.026244366560276,-0.0268686344797795,-0.0262231539723264,-0.0248121696165017,-0.0282639503522889,3083,569.9936,171.64888,31.5,484.548369381814,125.201465595488,7.72315552112966,5,4,0,1.06487447291599,0.23921423937723,7.39531106065521,0.224640786741915,0.0323467447704676,0.143993195713075,8.69939977294843,0,1.63920704397714,4,0.00445990917937074,,Grassland,33,869.939977294843,23.921423937723,739.531106065521,106.487447291599,0
EWT,reserve_39,-0.0292907458893035,-0.0301576304082455,-0.0292083390951296,-0.0293096414561228,-0.0331603175328175,6523,580.0027,200.056533333333,171.0015,157.42079403313,25.6493937498645,5.5227913584917,15,14,0,2.9135413153457,8.45728617200675,13.1995493177986,2.90275141370469,0.640725373903695,0.220730363226646,24.570376805151,0.228571428571429,2.56363218646379,10,0.00210791047064234,1999,Grassland,33,2457.0376805151,845.728617200675,1319.95493177986,291.35413153457,0
EWT,reserve_40,-0.0279026280526323,-0.0284466460722275,-0.0277191732608309,-0.0261733247459329,-0.0308881922004728,3500,899.9948,215.564753846154,171.0015,192.70057801117,25.7527802636912,9.52830342354917,13,12,0,11.7228853714286,24.2528957142857,26.6469853714286,2.06885036796451,0.910155328125415,0.439932893271975,62.6227664571429,0.15,2.77998718593587,10,0.00392854285714286,,Grassland,33,6262.27664571429,2425.28957142857,2664.69853714286,1172.28853714286,0
EWT,reserve_41,-0.0275887696838651,-0.0283068032431098,-0.0277998568222403,-0.0265228147661834,-0.0301807196432348,3352,210.0003,92.94982,31.5,64.8643051706475,24.9169274719761,14.7883502253519,5,4,0,0.281921241050119,0.463154474940334,0,1.64285058201058,,,0.745075715990454,0.166666666666667,1.93483221478881,3,0.00410199880668258,,Grassland,33,74.5075715990454,46.3154474940334,0,28.1921241050119,0
EWT,reserve_42,-0.0257664355067701,-0.0265943406585288,-0.025962064637473,-0.0244575564157328,-0.0284815584845171,2500,179.999,76.937225,57.87495,62.3071198233074,47.8266688984017,47.8266688984017,4,2,0,0,0.8639952,1.632,,0.529408823529412,,2.4959952,0,1.98426478534604,2,0.01029996,2016,Grassland,33,249.59952,86.39952,163.2,0,0
EWT,reserve_43,-0.0301700261522411,-0.0310793742915652,-0.0301942393176105,-0.0309472357523924,-0.0351888127615379,3360,213.501,67.687725,22.62495,36.0764866834296,31.1268756419663,31.1268756419663,4,2,0,2.25625178571429,0,0,,,,2.25625178571429,0,1.26288711947422,2,0.00766366071428572,,Nama-Karoo,33,225.625178571429,0,0,225.625178571429,0
EWT,reserve_44,-0.0319931149939646,-0.0332591363161503,-0.0327383089452214,-0.0330128178985153,-0.0363192150662499,6500,179.999,97.6071714285714,102,19.0829457167747,11.0602974595939,10.9858684342736,7,5,0,2.90769230769231,0.324615076923077,1.56738701538462,0.111640105820106,0.207105886253256,1.85512083432617,4.7996944,0,2.27410034676134,5,0.00396152307692308,,Nama-Karoo,33,479.96944,32.4615076923077,156.738701538462,290.769230769231,0
EWT,reserve_46,-0.0325024447447242,-0.0338902377906604,-0.0336835315862347,-0.0335707084564736,-0.0367867092525259,9000,1417.49,360.705566666667,66.75,416.337072376843,98.1479430075462,16.4481164121842,6,5,0,1.4,0.846494244444445,0.434663822222222,0.604638746031746,1.94746882801687,3.22087997303868,2.68115806666667,0,2.66853855244943,5,0.00152776666666667,,Nama-Karoo,33,268.115806666667,84.6494244444445,43.4663822222222,140,0
EWT,reserve_48,-0.0272679812061738,-0.0281260024223245,-0.0274830601421333,-0.0262324500180688,-0.0273224671196506,13000,580.0027,186.9905,173.00075,76.845916080647,11.4162374150826,6.03636767538572,16,15,0,1.25461615384615,2.79211465384615,5.70983703846154,2.22547322165958,0.489000760448754,0.219728889878125,9.75656784615385,0.266666666666667,3.50593937182389,9,0.00105768461538462,,Nama-Karoo,33,975.656784615385,279.211465384615,570.983703846154,125.461615384615,0
EWT,reserve_49,0.051612477208039,0.0543533101876786,0.0562367804906849,0.060681575329622,0.0642095865983572,1300,899.9948,238.176409090909,175,138.009019943908,34.7285010268543,13.295022552191,11,9,0,21.2364930769231,24.1154180769231,44.9421469230769,1.13556499133694,0.536588029899842,0.47252956369155,90.2940580769231,0.19047619047619,3.14279357818035,7,0.0353463076923077,1996,Savanna,203,9029.40580769231,2411.54180769231,4494.21469230769,2123.64930769231,0
EWT,reserve_50,-0.0564861621302551,-0.0579236166782617,-0.0577985943063634,-0.0576118194277298,-0.0557110485535753,9000,899.9948,222.22141875,172.00065,83.1087118387647,15.4247359381114,7.45838993410955,16,13,0,27.4745603111111,20.5980275444444,18.9626958666667,0.749712727381275,1.08623940864086,1.44887417402538,67.0352837222222,0.205128205128205,2.41138889139713,9,0.00643891111111111,2016,Albany Thicket,87,6703.52837222222,2059.80275444444,1896.26958666667,2747.45603111111,0
EWT,reserve_51,-0.0558725387841014,-0.0566434043212905,-0.0562541793256452,-0.0561658013518447,-0.0546734395592049,1137,213.501,118.400377777778,102,132.148170430418,21.0334848722923,4.95903263999584,9,8,0,43.9491978891821,5.38698856640282,20.43980941073,0.122573080400378,0.263553757187916,2.15017650145557,69.7759958663149,0.107142857142857,2.11087224428641,7,0.0120931398416887,,Albany Thicket,87,6977.59958663149,538.698856640282,2043.980941073,4394.91978891821,0
EWT,reserve_52,-0.0564107912876605,-0.0556719408745172,-0.0549776898937384,-0.0552305553548045,-0.0537181976989506,2400,213.501,110.81011,94.3002,93.507483633382,17.314209910609,5.33564461176975,10,9,0,19.03759,8.96874291666667,12.6166875,0.471107052765958,0.710863522352176,1.50892141855776,40.6230204166667,0.158730158730159,2.42230002258581,7,0.005729125,,Albany Thicket,87,4062.30204166667,896.874291666667,1261.66875,1903.759,0
EWT,reserve_53,0.030876761562825,0.0336230428719721,0.0329381283073333,0.0335142155074443,0.0360429272385798,2500,899.9948,184.756364285714,74.80015,266.391845590925,48.9865529726073,12.8497288591589,14,9,0,30.8428832,27.5599952,26.73387896,0.893560923642832,1.03090147304235,1.15370026348021,85.13675736,0.0972222222222222,3.03239329306727,8,0.0622998,,Savanna,203,8513.675736,2755.99952,2673.387896,3084.28832,0
EWT,reserve_54,0.0181441136265021,0.0199372715430963,0.019945238494006,0.021064502818313,0.0212136802806103,2000,4400,553.505806666667,161.4991,342.478917954841,63.2503298026384,29.289896587907,15,10,11,38.07511,42.8373,60.4101575,1.12507357168502,0.709107570196287,0.630276621940607,141.3225675,0,4.46664556480967,10,0.12712435,,Savanna,203,14132.25675,4283.73,6041.01575,3807.511,1100
EWT,reserve_55,0.0292755063828999,0.0318172319228422,0.0309485550099326,0.0308835926567797,0.0323678560906461,1000,899.9948,193.08463,130.8002,247.038529105105,37.0036867082439,15.2714794956767,10,9,0,28.1374286,16.2699705,27.7262642,0.578232315798751,0.586807165315838,1.01482941939217,72.1336633,0.158730158730159,3.34914366770018,7,0.012,,Savanna,203,7213.36633,1626.99705,2772.62642,2813.74286,0
EWT,reserve_56,0.0285460539832919,0.0312366437078911,0.0302890948545011,0.0299004469495576,0.0323509229189845,2100,4400,517.32565882353,175,1774.2049246307,189.135042781019,4.17732489736697,17,11,104.761904761905,22.2261152380952,13.5702018095238,224.011540857143,0.610552121419072,0.0605781369906197,0.0992186168313057,259.807857904762,0.161616161616162,2.89507461478967,9,0.167594571428571,2016,Savanna,203,25980.7857904762,1357.02018095238,22401.1540857143,2222.61152380952,10476.1904761905
EWT,reserve_57,0.0300059989008808,0.0327246715061803,0.031782136197036,0.0320568437755715,0.0339812756326729,1000,1417.49,192.353130769231,54.9997,257.612821146367,41.3141087417077,10.6015406308883,13,9,0,4.067523,7.3424735,4.1892108,1.80514615405985,1.75271043892086,0.970952094365841,15.5992073,0.0972222222222222,3.46294000876244,8,0.0927496,,Savanna,203,1559.92073,734.24735,418.92108,406.7523,0
EWT,reserve_58,0.0585986926836871,0.0598974402634476,0.0595695383459618,0.0585666760577209,0.0556553229179999,335,569.9936,140.061346153846,102,49.4343222270803,15.1910916724549,8.67067858708685,13,10,0,13.2627510447761,12.5134626865672,33.0793904477612,0.943504303467712,0.378285769997134,0.400936984184173,58.8556041791045,0.15,2.92893482929479,8,0.172985671641791,,Savanna,203,5885.56041791045,1251.34626865672,3307.93904477612,1326.27510447761,0
EWT,reserve_59,0.0288831302612763,0.0304038940556936,0.0295317322179791,0.0291138160882153,0.0303348420441582,230,899.9948,162.799633333333,70.80005,173.752247459889,35.6749127582584,10.9197997622749,12,8,0,31.2445930434783,7.93478086956522,21.6261434782609,0.253956928116286,0.366906881827611,1.44476027706401,60.8055173913044,0.107142857142857,3.20688950601435,7,0.403259130434783,,Savanna,203,6080.55173913044,793.478086956522,2162.61434782609,3124.45930434783,0
