Binomial.1.2,order,family,genus,iucn_status,common_name,guild_with_omnivore,guild_only_herbivory,fermentation_simple,trophic_level_herbivore,source_herbi,herbivore_fg_own,herbi_body_mass_bins,mass_kg,mass_kg_carni,maximum_prey_size,largest_accessible_prey_size,prey_range_bins,group_hunting,hunting_style,carnivore_fg_own,source_carni,trophic_level_carni,trophic_level,species,browser,grazer,mixed_feeder,omnivore,feeding_type,fermentation_type,mr_mass_kg,hempson_herbivore_group,trophic_level_hempson
Kobus_megaceros,Cetartiodactyla,Bovidae,Kobus,EN,Nile Lechwe,Grazer,Grazer,Foregut,medium herbivore,HerbiTRAITS,s2GrazerForegut,7,87.5004,,,,,,,,,,medium herbivore,Kobus megaceros,0,1,0,0,Grazer,Foregut,65.6253,Water-dependent grazers,Water-dependent grazers
Kobus_vardonii,Cetartiodactyla,Bovidae,Kobus,NT,Puku,Grazer,Grazer,Foregut,medium herbivore,HerbiTRAITS,s2GrazerForegut,6,71.5007,,,,,,,,,,medium herbivore,Kobus vardonii,0,1,0,0,Grazer,Foregut,53.625525,Water-dependent grazers,Water-dependent grazers
Lama_guanicoe,Cetartiodactyla,Camelidae,Lama,LC,Guanaco,Mixed Feeder,Mixed Feeder,Foregut,large herbivore,HerbiTRAITS,s3Mixed FeederForegut,7,120,,,,,,,,,,large herbivore,Lama guanicoe,0,0,1,0,Mixed Feeder,Foregut,90,,
Lasiorhinus_krefftii,Diprotodontia,Vombatidae,Lasiorhinus,CR,Northern Hairy-nosed Wombat,Grazer,Grazer,Hindgut,small herbivore,HerbiTRAITS,s1GrazerHindgut,4,31.45,,,,,,,,,,small herbivore,Lasiorhinus krefftii,0,1,0,0,Grazer,Hindgut,23.5875,,
Lasiorhinus_latifrons,Diprotodontia,Vombatidae,Lasiorhinus,NT,Southern Hairy-nosed Wombat,Grazer,Grazer,Hindgut,small herbivore,HerbiTRAITS,s1GrazerHindgut,4,25.5,,,,,,,,,,small herbivore,Lasiorhinus latifrons,0,1,0,0,Grazer,Hindgut,19.125,,
Leopardus_pardalis,Carnivora,Felidae,Leopardus,LC,,,,,small herbivore,Phylacine,not_complete,1,11.9001,11.9001,83.4122335700825,7.2257245,1,solitary,Ambush,small prey predatorsolitaryAmbush,CarniTRAITS,small prey predator,small prey predator,Leopardus pardalis,,,,,Predator,Shortgut,8.925075,,small prey predator
Leptailurus_serval,Carnivora,Felidae,Leptailurus,LC,,,,,small herbivore,Phylacine,not_complete,1,12,12,87.6317824139953,7.45,1,solitary,Pounce pursuit,small prey predatorsolitaryPounce pursuit,CarniTRAITS,small prey predator,small prey predator,Leptailurus serval,,,,,Predator,Shortgut,9,,small prey predator
Leptonychotes_weddellii,Carnivora,Phocidae,Leptonychotes,LC,,,,,large herbivore,Phylacine,not_complete,9,400,,,,,,,,,,large herbivore,Leptonychotes weddellii,,,,,Predator,Shortgut,300,,
Litocranius_walleri,Cetartiodactyla,Bovidae,Litocranius,NT,Gerenuk,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,5,37.9997,,,,,,,,,,small herbivore,Litocranius walleri,1,0,0,0,Browser,Foregut,28.499775,Small nonsocial browsers,Small nonsocial browsers
Lobodon_carcinophaga,Carnivora,Phocidae,Lobodon,LC,,,,,large herbivore,Phylacine,not_complete,8,233.25,,,,,,,,,,large herbivore,Lobodon carcinophaga,,,,,Predator,Shortgut,174.9375,,
