x,y,term,method,mean_rel_imp,sd_rel_imp,clean_term,responseGroup,tier,tier_label,response,response_tier
1.24178137651822,0.547949750939633,fire_events_since_2001,ensemble,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
1.397004048583,0.572687152856481,fire_events_since_2001,ensemble,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
1.55222672064777,0.596393696390503,fire_events_since_2001,ensemble,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
1.70744939271255,0.617126672309126,fire_events_since_2001,ensemble,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
1.86267206477733,0.616877654431399,fire_events_since_2001,ensemble,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
2.01789473684211,0.583292412042014,fire_events_since_2001,ensemble,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
2.17311740890688,0.576093148391093,fire_events_since_2001,ensemble,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
2.32834008097166,0.564736333771305,fire_events_since_2001,ensemble,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
330.202573824066,0.529838666282424,grazer_biomass_kgkm2,ensemble,1.336403832575,0.676477696022894,Grazer biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
660.405147648132,0.543084849734766,grazer_biomass_kgkm2,ensemble,1.336403832575,0.676477696022894,Grazer biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
990.607721472198,0.552494727031362,grazer_biomass_kgkm2,ensemble,1.336403832575,0.676477696022894,Grazer biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
1320.81029529626,0.55717903942383,grazer_biomass_kgkm2,ensemble,1.336403832575,0.676477696022894,Grazer biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
1651.01286912033,0.555005177446232,grazer_biomass_kgkm2,ensemble,1.336403832575,0.676477696022894,Grazer biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
1981.2154429444,0.553096661347355,grazer_biomass_kgkm2,ensemble,1.336403832575,0.676477696022894,Grazer biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
2311.41801676846,0.553416841622671,grazer_biomass_kgkm2,ensemble,1.336403832575,0.676477696022894,Grazer biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
2641.62059059253,0.550484420300126,grazer_biomass_kgkm2,ensemble,1.336403832575,0.676477696022894,Grazer biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
2971.82316441659,0.54954301384504,grazer_biomass_kgkm2,ensemble,1.336403832575,0.676477696022894,Grazer biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
3302.02573824066,0.547916810364974,grazer_biomass_kgkm2,ensemble,1.336403832575,0.676477696022894,Grazer biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
