SiteID,max_species_body_mass,mean_species_body_mass,median_species_body_mass,CW_max_species_body_mass,CW_mean_species_body_mass,CW_median_species_body_mass,herbivore_fg_own,carnivore_fg_own,hempson_fg,trophic_groups,trophic_groups_hempson,carnivore_fg_own_simple,herbivore_fg_own_simple,total_biomass_ha,total_m_biomass_ha,m_herbi_biomass_ha,n_species_reserve,n_herbi_sp_reserve,elephant_biomass_ha,white_rhino_biomass_ha,white_rhino_yn,browser_biomass_ha,grazer_biomass_ha,mixed_feeder_biomass_ha,grazer_browser_ratio,grazer_mixed_ratio,browser_mixed_ratio,herbi_biomass_ha,prop_biomass_w_occasional_predator,prop_biomass_w_regular_predator,prop_species_w_occasional_predator,prop_species_w_regular_predator,herbi_fun_red,herbi_fun_div_distq1,herbi_fun_ent,predator_biomass_ha,farm_size_ha,reserve_name,year_to_wildlife
LIM81,227.4993,136.42016,102,65.3747901058958,27.4906078670856,17.7886608650952,4,0,2,2,2,0,2,4.46275912305579,3.34706934229185,3.34706934229185,5,5,0,,,1.36651322927267,0.728054676793719,2.36819121698941,0.532782750432082,0.307430697137399,0.577028248170714,4.46275912305579,,,0,0,0.15,2.49855926715992,4,,624.951139664083,Out of Africa,2020
LIM82,899.9948,168.364523529412,82.5,360.90136379943,34.4889844565988,1.46038171089717,10,2,4,5,6,2,3,127.590100755831,95.6925755668731,94.4615456686283,17,13,0,,,21.6385154402867,22.7002435095475,81.6099686083368,1.04906658556086,0.278155278045636,0.265145493979228,125.948727558171,1,0.96781546505485,1,0.923076923076923,0.0705128205128205,2.35064916280254,12,1.64137319765974,444.047033934259,Waterberg bushveld retreat,
LIM83b,899.9948,188.04212,99.75,141.42173191197,22.3149696071006,2.94603110039534,11,1,5,4,6,1,3,46.2068278189049,34.6551208641787,34.0464174381235,20,18,0,,,14.1959900232024,12.84780436803,18.3514288595989,0.905030529539052,0.700098312034696,0.773563199455016,45.3952232508313,1,0.842863834422188,1,0.944444444444444,0.174603174603175,3.26032707992875,14,0.811604568073646,3154.23249289512,Lindelani Game and Lodges,1992
LIM85?,899.9948,215.7555625,173.00075,-Inf,,,7,0,4,3,4,0,3,0,0,0,16,16,0,,,0,0,0,,,,0,,,0,0,0.227272727272727,3.4647169155311,11,,,Wilger Group,1978
LIM86,899.9948,244.834076923077,171.0015,239.146468486452,40.1045026886615,5.75562582423201,9,0,5,3,5,0,3,54.384308080687,45.6052553232184,45.6052553232184,13,13,0,,,19.6244964728817,3.1123484201469,31.6474631876585,0.158595071442864,0.098344325473791,0.620096983967252,54.384308080687,,,0,0,0.0705128205128205,2.09019249617224,12,,934.186700042653,Runde Farms,2000
LIM87,4400,352.724641666667,99.75,2019.33593296889,111.20142542205,1.5732051196445,11,2,5,5,6,1,4,9.42370541411294,7.0677790605847,6.79393571223139,24,20,4.1573450030271,,,1.02725851393783,1.05173542593255,6.97958700977148,1.02382741214857,0.150687343600719,0.147180415187841,9.05858094964186,0.541060015234343,0.482389049353495,0.95,0.9,0.1625,3.238569923019,16,0.36512446447108,16933.8844740428,All days development PTY LTD.,2010
LIM89,899.9948,198.208690909091,139.87515,157.300131354342,17.2237431365795,1.81324935840912,9,0,5,3,5,0,3,141.422573566705,106.066930175029,106.066930175029,22,22,0,,,25.1484059356042,49.0342527289416,67.2399149021596,1.94979565919606,0.729243230011387,0.37401007975988,141.422573566705,,,0,0,0.204545454545455,2.55884376096195,16,,4914.68367086506,New Wycombe Farm,1998
LIM9,899.9948,192.791721052632,97.5,153.351531628264,24.3193769261009,3.65515020178862,9,2,5,5,7,2,3,135.201470552534,101.401102914401,101.200801155871,19,17,0,,,29.3061294444385,36.4757197328182,69.1525523639053,1.24464473556539,0.527467439536722,0.423789555737859,134.934401541162,0.850811484084105,0.198083651997631,0.941176470588235,0.529411764705882,0.180995475113122,2.85647184600327,13,0.267069011372381,894.153158289993,Palanca PTY,2009
LIM90,569.9936,160.008909090909,169.0013,167.399030355992,24.5877198210385,6.74399955259378,8,0,5,3,5,0,3,37.5314377972725,28.1485783479544,28.1485783479544,11,11,0,,,4.11488840400574,14.0869076694636,19.3296417238031,3.42339968582146,0.728772310979596,0.212879703762876,37.5314377972725,,,0,0,0.0818181818181818,3.08388310733157,10,,2689.02699505251,Ouhoek Safaris,
LIM91,1417.49,236.841236,161.4991,156.665331199032,20.1549707061607,3.39494700859365,11,3,5,6,7,2,4,68.3851385330473,51.2888538997855,51.0023090561379,25,21,0,,,10.1611611213663,19.9216667122868,37.9202509078641,1.96056990675964,0.525356932914054,0.267961336702524,68.0030787415173,1,0.913134508045807,1,0.904761904761905,0.193452380952381,2.8242214598312,16,0.382059791530046,3157.61047549314,Sangoma safaris,2000
LIM92,1417.49,233.460882352941,161.4991,269.831365305815,34.3470267260731,3.83559297022764,10,2,5,5,6,1,4,76.8850952717408,80.6342143580068,78.7466577754061,17,15,0,,,12.3507861059629,20.3320262255859,41.6855408300579,1.64621312774332,0.487747689504012,0.296284655543132,74.3683531616067,1,0.809641432880786,1,0.933333333333333,0.15,3.37411311917802,12,2.51674211013418,1501.93338633273,Boelamien,1986
