NAME,WDPA_PID,DESIG_ENG,GIS_AREA,MAP,MAT,fire_events_since_2001,n_deposition,prop_burned_area,woody_trend_venter2019,spatial_predictor1,spatial_predictor2,spatial_predictor3,spatial_predictor4,spatial_predictor5
Complexe des  AP Ambohimirahavavy Marivorahona,555697871,National Park,5692.46235579998,2351.72612875037,16.8677978444509,1.54773697694278,187.968658447266,0.247820198086853,-1.1116326629138,0.000958306580506054,0.000163822124755926,-0.00105392797642451,0.00213355774891676,-0.00406186367452765
Lac Alaotra,555697873,National Park,424.945952825268,1347.28068833652,20.8566921606118,2.51978171896317,259.867919921875,0.406544647809207,-0.64194530212484,0.0013952213062105,0.000475712330172123,-0.000950049295609472,0.00196537137639193,-0.00491954579852248
Rivière Nosivolo,555697874,National Park,67.80335515748,2407.15411764706,20.7864705882353,1.11111111111111,267.242393493652,0.0321428571428571,-0.722424506815948,0.0016700235891836,0.000695156437947627,-0.000573245222097293,0.00170155941882061,-0.00509533486628258
Complexe Lac Forêt Ambondrobe,555697875,National Park,70.2871521435628,1100.35,25.6662790697675,1.57758620689655,260.135864257813,0.389261744966443,-0.342763702142193,0.0028335574282806,0.00186128329041312,0.000357371581163743,0.000529034246275802,-0.00612369934732193
Complexe Zones Humides Mangoky Ihotry,555697877,National Park,4267.09949717751,569.525228246693,25.6663033351966,2.35644962061055,243.112640380859,0.306954826129347,-0.00663562205814135,0.00326649048811767,0.00229209499983195,0.000992819423424561,-0.000267991534891633,-0.00619499503069597
Forêt Naturelle de Tsitongambarika,555697878,National Park,585.518817202445,3202.71651006711,20.125033557047,1.175,99.2531242370606,0.108611326609775,-2.11826656347167,0.00196773163761012,0.00112688087998476,0.000292960694553218,0.000398884825043127,-0.00476858532980125
Beanka,555697879,National Park,171.787046093625,1463.48436018957,24.5045023696683,1.375,270.144958496094,0.132596685082873,-0.348187857274991,0.00271791513020976,0.00178338157277446,0.000298304168523928,0.000851691289494563,-0.00600990862131588
Sahafina,555697880,National Park,24.0543081870384,2842.19655172414,22.8189655172414,1,278.401489257813,0.0099009900990099,-0.87841903985513,0.00137254932394496,0.000487666326334972,-0.000849903919260781,0.00197872441241367,-0.00490760212582499
Corridor Forestier Ambositra Vondrozo,555697881,National Park,3131.12187305903,2534.45758883248,18.2149746192893,1.12540894220284,231.753289794922,0.13515106853353,-0.949842509435335,0.00200287691357795,0.00100447646915683,-0.000269690969396482,0.00100514366950915,-0.00517791348193031
Massif d'Itremo,555697882,National Park,247.170653303571,1433.12703583062,17.1708469055375,5.53481012658228,266.930236816406,0.891815616180621,0.18530558724786,0.00218812465808928,0.001094962359013,-0.000251022372165965,0.000977124465903326,-0.0055438020716242
Maromizaha,555697883,National Park,19.3967283397367,2637.17692307692,17.7384615384616,1.32142857142857,278.401489257813,0.337349397590361,-0.944771648587889,0.00148914283628384,0.000586409008354089,-0.000720852374197467,0.00189727159574745,-0.00501060173410727
Ambatofotsy,555697884,National Park,15.9512564915287,2073.32631578947,21.2763157894737,5.67164179104478,245.298645019531,0.985294117647059,-0.0309562672696667,0.00233125490142113,0.00121074464356853,-9.12097742810309e-05,0.00109413012292223,-0.00563484479214225
Mangabe-Ranomena-Sahasarotra,555697885,National Park,271.354809049633,2194.92418879056,18.373598820059,2.96878363832078,273.738464355469,0.805025996533795,-1.19226506950602,0.00160055691841075,0.000648397300318036,-0.000631673137712345,0.00184359643322971,-0.00508270948797435
Ampotaka Ankorabe,555697886,National Park,0.972867942708811,2037.2,23.35,0,245.298645019531,0,-0.105088324934424,0.00243005561756865,0.00130581881631684,-9.73525160441553e-06,0.000977984328905403,-0.005702757156824
Mahialambo,555697887,National Park,3.04127802094903,1440.5,19.65,1,278.401489257813,0.133333333333333,-0.783985820092562,0.00150019946293789,0.000588756873670242,-0.000885860314928071,0.00189620987849984,-0.00503763339507103
Ampanganandehibe-Behasina,555697888,National Park,5.79907315455861,1562.5,18.4166666666667,1.375,278.401489257813,0.347826086956522,-0.187942771473941,0.00147507355993029,0.000545449093697484,-0.000907763531593054,0.00191964025887374,-0.0050177275894098
Analalava,555697889,National Park,3.80716619771364,1472.51666666667,24.35,0,260.57958984375,0,-0.503962625133756,0.00207989569339742,0.000944773027442786,-0.000418151564160665,0.0015484305852936,-0.00544367725083008
