NAME,WDPAID,WDPA_PID,PA_DEF,ORIG_NAME,DESIG_ENG,DESIG_TYPE,GIS_AREA,STATUS,VERIF,MAP,MAT,elevation_mean,Biome,fire_events_since_2001,n_deposition,prop_burned_area,woody_trend_venter2019,canopy_height_sd100,canopy_height_mean,tree_cover_sd100,tree_cover_mean,tree_cover_mean_scaled,sp1,spatial_predictor2,spatial_predictor3,spatial_predictor4,spatial_predictor5,spatial_predictor1
Doreen Clark Nature Reserve,4944,4944,1,Doreen Clark Nature Reserve,Nature Reserve,National,0.058167371386389,Designated,State Verified,949.8,15.45,1142.125,Grassland,0,624.001708984375,0,-0.259962621820766,43.7075697580973,85.1225275993347,19.2019846439362,76.5958986282349,2.14634951155184,0.00679410461376102,0.00652574328602317,0.00592383225080548,0.00581518102088311,0.00564421143174842,0.00679410461376102
Doorndraai Nature Reserve,7381,7381,1,Doorndraai Nature Reserve,Nature Reserve,National,68.9783417239459,Designated,State Verified,579.565591397849,18.7930107526882,1258.34876773712,Savanna,2.08361204013378,698.615966796875,0.749163879598662,0.702069203711742,6.28000011958426,7.17952303437598,17.5376683540954,27.1155760181737,0.152184623561933,0.0255888300670084,0.0265659791372032,0.028234623371006,0.0279056918686664,0.0253721642294467,0.0255888300670084
Barberspan Nature Reserve,7383,7383,1,Barberspan Nature Reserve,Nature Reserve,National,30.1538632382874,Designated,State Verified,528.865789473684,17.55,1354.5385351843,Azonal Vegetation,0.0955882352941176,614.486633300781,0.0367647058823529,0.161804796672216,0.683577969530325,0.308833462747282,1.43882376019148,0.76403352837748,-0.909839995631648,0.00657683683643092,0.00633345965442631,0.00611015975972356,0.00792577295403996,0.00981057186968861,0.00657683683643092
Nylsvley Private Nature Reserve,7384,7384,1,Nylsvley Private Nature Reserve,Nature Reserve,National,30.8994499876699,Designated,State Verified,590.135,19.8625,1105.00284158181,Savanna,1.72058823529412,698.615966796875,0.941176470588235,0.750084584837628,5.06987402402284,4.86038467526571,15.5865764054969,19.5909327991994,-0.151074904880971,0.0257951580610538,0.026581870379533,0.0278503708658987,0.0282584786575581,0.0258102617689155,0.0257951580610538
Percy Fyfe Nature Reserve,7385,7385,1,Percy Fyfe Nature Reserve,Nature Reserve,National,29.8518903287161,Designated,State Verified,538.392307692308,17.5807692307693,1418.22866304884,Savanna,2.3609022556391,857.952331542969,0.75187969924812,0.58288870859606,5.76990537512113,3.44005868648724,18.645239833786,15.2793268741232,-0.324842024679173,0.024614934383983,0.0254304557320277,0.0279156806982135,0.0278508565919452,0.0248460664672521,0.024614934383983
Ohrigstad Dam Nature Reserve,7386,7386,1,Ohrigstad Dam Nature Reserve,Nature Reserve,National,25.6070519322611,Designated,State Verified,984.706060606061,14.9318181818182,1565.32001141878,Grassland,3.08849557522124,822.28466796875,0.769911504424779,0.614759647605634,6.7264473454907,6.25496016346956,14.8326345987879,16.2619809229386,-0.285238923934831,0.0214597163328959,0.020955897374035,0.0200052080208632,0.0204119845713297,0.0211798691187673,0.0214597163328959
Roodeplaat Nature Reserve,7387,7387,1,Roodeplaat Nature Reserve,Nature Reserve,National,17.1299040466951,Designated,State Verified,697.218181818182,18.7181818181819,1236.06966864911,Savanna,0.142857142857143,1391.71862792969,0.0649350649350649,0.503496412848143,7.8926315111872,6.25173452338215,19.4223465107212,19.0536371950339,-0.172729089247188,0.0229433021989865,0.0232626290143266,0.0243362402099803,0.0245861435986638,0.0248917742179052,0.0229433021989865
Manyeleti Nature Reserve,9072,9072,1,Manyeleti Nature Reserve,Nature Reserve,National,214.379884754541,Designated,State Verified,623.559139784946,21.9844086021505,419.249615213599,Savanna,1.56315789473684,310.056060791016,0.52,0.463701653984648,2.26632305876954,1.23033031231636,7.23634278119454,5.10598594339293,-0.734849846121463,0.0173538253686487,0.0170118747652926,0.0158876629517381,0.0164921888332162,0.0162902027733825,0.0173538253686487
Vaalkopdam Nature Reserve,9075,9075,1,Vaalkopdam Nature Reserve,Nature Reserve,National,47.0922070443651,Designated,State Verified,579.132258064516,20.0790322580646,1014.57224806202,Savanna,1.15789473684211,1149.50793457031,0.301435406698565,0.351419360578825,7.10538407952658,7.2490807135577,17.5175493018671,22.6563868819156,-0.0275304214370625,0.0223320538255778,0.0227276722148774,0.0225482193651065,0.0207430033761196,0.0202021690230657,0.0223320538255778
Dwesa-Cwebe Nature Reserve,9081,9081,1,Dwesa-Cwebe Nature Reserve,Nature Reserve,National,53.7582881878587,Designated,State Verified,1041.99836065574,19.9991803278689,68.3477929984779,Forests,0.0365296803652968,266.016876220703,0,0.00496972375600832,20.6699631493691,79.8671784768538,8.46215098732338,86.3178251668979,2.53816434873071,-0.00284762610524271,-0.002842088859401,-0.002843908900428,-0.00323457056753558,-0.00318210182810272,-0.00284762610524271
Boskopdam Nature Reserve,9083,9083,1,Boskopdam Nature Reserve,Nature Reserve,National,26.7084895810115,Designated,State Verified,599.658333333333,17.1194444444445,1409.41461434371,Grassland,1.01680672268908,1470.22058105469,0.428571428571429,0.571106695612902,0.66234641186632,0.428794319281086,1.81234266934396,1.18046475184196,-0.893056909340156,0.0142946191714575,0.0147042844062766,0.015364613698421,0.0164640523342238,0.0172818714935016,0.0142946191714575
Sandveld Nature Reserve,9084,9084,1,Sandveld Nature Reserve,Nature Reserve,National,311.114388855841,Designated,State Verified,489.393734939759,18.11,1241.53609950888,Savanna,0.149295774647887,633.641845703125,0.05,0.393055840807131,3.89638884577681,3.44542710328305,9.5974209561856,10.3475587328258,-0.523603033991646,0.00413950171185996,0.00405031723309329,0.00370499999070539,0.00387245971769112,0.00498538451820207,0.00413950171185996
Soetdoring Nature Reserve,9089,9089,1,Soetdoring Nature Reserve,Nature Reserve,National,68.035060866658,Designated,State Verified,534.101086956522,17.5336956521739,1260.30025974026,Azonal Vegetation,0.0192307692307692,475.594299316406,0.0128205128205128,0.173452682204329,2.32708520720245,1.76725995472346,6.95869298928443,6.29218029527115,-0.687043627364787,0.000823722028113505,0.000865328253647448,0.000699496721268964,0.000808299642377791,0.00121384642191478,0.000823722028113505
Thomas Baines Nature Reserve,9101,9101,1,Thomas Baines Nature Reserve,Nature Reserve,National,10.4681251520651,Designated,State Verified,607.376923076923,17.5192307692308,373.651612903226,Albany Thicket,0.30188679245283,185.267364501953,0.188679245283019,-0.226589911771201,12.0321901977812,24.8737808549555,19.868357706184,65.292386099207,1.69079331047408,-0.0112453684208627,-0.0109213186505434,-0.0107648530104075,-0.011054068997139,-0.0117347305412897,-0.0112453684208627
Midmar Public Resort Nature Reserve,9103,9103,1,Midmar Public Resort Nature Reserve,Nature Reserve,National,29.616355426092,Designated,State Verified,799.675,16.41,1053.6265717675,Grassland,0.75,624.001708984375,0.212121212121212,0.118879200813498,1.46290257764801,0.767789875937445,2.63927220770951,1.70598447900454,-0.871877318493257,0.00694675200328776,0.0066984356505182,0.00608784276902604,0.00591212445832753,0.00579788690026023,0.00694675200328776
Weenen Nature Reserve,9106,9106,1,Weenen Nature Reserve,Nature Reserve,National,49.167997353846,Designated,State Verified,706.1171875,17.775,1067.05651423641,Savanna,1.81531531531532,724.924560546875,0.436936936936937,0.68688547569402,5.06323239524869,7.33307233955904,16.6430715512027,29.8407190294532,0.262013828813308,0.00899191666947849,0.00873918224833862,0.00814922999016721,0.00772463252979155,0.00802931399898979,0.00899191666947849
Chelmsford Public Resort Nature Reserve,9107,9107,1,Chelmsford Public Resort Nature Reserve,Nature Reserve,National,61.0301587917873,Designated,State Verified,772.685365853659,16.6304878048781,1253.24301904428,Grassland,2.47163120567376,830.569152832031,0.514184397163121,0.425749850547879,0.259897360178889,0.121130094823233,0.866318517225318,0.480974867376002,-0.921247876850592,0.0114331622132943,0.0112256560837602,0.0109016731856953,0.0117152620719686,0.0134997657085415,0.0114331622132943
Coleford Nature Reserve,9109,9109,1,Coleford Nature Reserve,Nature Reserve,National,12.7168213495377,Designated,State Verified,921.570588235294,13.8382352941177,1547.09539473684,Grassland,3.03571428571429,723.132507324219,0.428571428571429,0.594574464785892,0.64840903874062,0.280229335791186,1.22970582999505,0.605365273648121,-0.916234672257212,0.00489265796110207,0.00476848926535487,0.00447960118528908,0.0042541554451684,0.00441876109601703,0.00489265796110207
Tsolwana Game Reserve,9112,9112,1,Tsolwana Game Reserve,Nature Reserve,National,75.1378069990661,Designated,State Verified,527.039047619048,13.2928571428572,1520.30566415129,Grassland,0.943661971830986,317.555114746094,0.653521126760563,0.681705574250337,0.946396360513395,0.557572558504044,3.38245400889851,2.26948259810769,-0.849167115643137,-0.00881138951191928,-0.00863097862121012,-0.00859807281827037,-0.00921818542655365,-0.00975522041547942,-0.00881138951191928
Nwanedi National Park,9115,9115,1,Nwanedi National Park,Nature Reserve,National,33.3324159373213,Designated,State Verified,878.136363636364,21.6204545454546,644.348826815643,Savanna,0,213.527069091797,0,0.625009357976936,6.32499715202447,7.47281175087067,20.3938783477999,30.6162518943898,0.293269494240686,0.01648947109355,0.0162766641124293,0.0158277280151117,0.0167273898302048,0.0166747605738205,0.01648947109355
